,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YIL013C': 16, 'YMR008C': 0.125, 'curs': 0}",11,0.0,0.0,0.0
1,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YGR124W': 0.03125, 'YDR158W': 0.03125, 'YER053C': 4, 'curs': 0}",12,0.0,0.0,0.0
2,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YGL026C': 0.0625, 'YPL053C': 0.03125, 'YDR300C': 0, 'YDR354W': 8, 'YPL172C': 0.03125, 'YML110C': 0.25, 'YER053C': 0.5, 'YBR252W': 4}",16,0.0,0.0,0.0
3,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YIL013C': 32, 'YOL011W': 0.5, 'YDR354W': 8}",11,0.0,0.0,0.0
4,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YGR065C': 0.25, 'YGR020C': 32, 'YBR298C': 0, 'YPL212C': 4, 'YBR299W': 0, 'YOR071C': 0.0625, 'YDR001C': 0.5, 'YER053C': 0.5}",16,0.0,0.0,0.0
5,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YDR300C': 0, 'YDR354W': 8, 'YML110C': 0.25, 'YOL011W': 0.25, 'YBR252W': 4}",13,0.0,0.0,0.0
6,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YOR348C': 4, 'YDR354W': 8, 'curs': 0}",11,0.0,0.0,0.0
7,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YIL013C': 32, 'YDR354W': 8}",10,0.0,0.0,0.0
8,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YDR158W': 0.03125, 'YEL006W': 32, 'YML035C': 16, 'YOR071C': 0.0625, 'curs': 0, 'YGR124W': 0.03125}",14,0.0,0.0,0.0
9,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YGR020C': 32, 'YDR158W': 0.03125, 'YJR143C': 32, 'YDR001C': 0.5, 'YGR124W': 0.03125}",13,0.0,0.0,0.0
