,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'YPL262W': 0, 'YBR145W': 0, 'YKL165C': 0, 'YJR095W': 0, 'YBR011C': 0, 'YCR028C': 0, 'YPL059W': 0, 'YEL069C': 0, 'YMR293C': 0, 'YIL155C': 0, 'YDL178W': 0}",11,-0.0,0.0063471996034730966,5.0
4,"{'YKL165C': 0, 'YJR095W': 0, 'YCR028C': 0, 'YPR140W': 0, 'YKR043C': 0, 'YPL059W': 0, 'YMR246W': 0, 'YLR070C': 0, 'YMR293C': 0, 'YIL155C': 0, 'YDL178W': 0, 'YCR053W': 0.0625}",12,-0.0,0.5396790511674321,4.583333333333333
5,"{'YPL262W': 0, 'YBR145W': 0, 'YKL165C': 0, 'YJR095W': 0, 'YBR011C': 0, 'YCR028C': 0, 'YPL059W': 0, 'YEL069C': 0, 'YMR293C': 0, 'YIL155C': 0, 'YDL178W': 0, 'YBR166C': 4}",12,-0.0,0.020100805528673448,4.75
7,"{'YBR166C': 32, 'YPL262W': 0, 'YBR145W': 0, 'YJR095W': 0, 'YKR043C': 0, 'YMR246W': 0, 'YGL125W': 32, 'YMR293C': 0, 'YDL178W': 0, 'YIL155C': 0, 'YKL060C': 0.5, 'YLR134W': 16}",12,0.012675853300664558,1.1293284517668154,3.8333333333333335
1,"{'YBR166C': 32, 'YPL262W': 0, 'YBR145W': 0, 'YKL165C': 0, 'YMR246W': 0, 'YCR024C': 16, 'YGL125W': 32, 'YMR293C': 0, 'YDL178W': 0, 'YIL155C': 0, 'YKL060C': 0.5, 'YLR134W': 16}",12,0.012675854723086152,1.12932845494012,3.5833333333333335
15,"{'YBR166C': 32, 'YPL262W': 0, 'YBR145W': 0, 'YKL165C': 0, 'YKR043C': 0, 'YMR246W': 0, 'YGL125W': 32, 'YMR293C': 0, 'YDL178W': 0, 'YIL155C': 0, 'YKL060C': 0.5, 'YLR134W': 16}",12,0.012675854723086872,1.1293280630852733,3.8333333333333335
12,"{'YMR062C': 32, 'YBR166C': 32, 'YPL262W': 0, 'YBR145W': 0, 'YPR021C': 0, 'YNL117W': 32, 'YBR218C': 2, 'YGL125W': 32, 'YMR293C': 0, 'YLR134W': 16}",10,0.012698913452344427,1.0510941084200418,3.2
80,"{'YMR062C': 32, 'YBR166C': 32, 'YPL262W': 0, 'YBR145W': 0, 'YPR021C': 0, 'YBR011C': 0, 'YJR095W': 0.0625, 'YBR218C': 2, 'YGL125W': 32, 'YMR293C': 0, 'YLR134W': 16, 'YDR256C': 0.5}",12,0.012698913452344454,1.0510941084199865,2.9166666666666665
79,"{'YBR166C': 32, 'YPL262W': 0, 'YKL165C': 0, 'YPR021C': 0, 'YJR095W': 0, 'YBR011C': 0, 'YLR134W': 32, 'YMR062C': 16, 'YBR218C': 2, 'YGL125W': 32, 'YDL178W': 0}",11,0.012858685723283494,1.0503603898071112,3.6363636363636362
23,"{'YMR062C': 32, 'YBR166C': 32, 'YPL262W': 0, 'YDL178W': 0, 'YJR095W': 0, 'YPR021C': 0, 'YBR011C': 0, 'YLR070C': 0, 'YGL125W': 32, 'YIL155C': 0, 'YLR134W': 16}",11,0.013468199822499985,1.0500171861803211,3.909090909090909
37,"{'YDL178W': 0, 'YBR166C': 32, 'YPL262W': 0, 'YMR062C': 32, 'YJR095W': 0, 'YBR011C': 0, 'YNL316C': 2, 'YLR070C': 0, 'YMR217W': 16, 'YGL125W': 32, 'YLR134W': 16}",11,0.014146438295597369,1.049524043318372,3.3636363636363638
65,"{'YBR166C': 32, 'YPL262W': 0, 'YBR145W': 0, 'YOR323C': 16, 'YLR134W': 32, 'YMR246W': 0, 'YMR062C': 16, 'YGL125W': 32, 'YDL178W': 0, 'YKL211C': 0.5}",10,0.014303694242467366,1.0484132512388666,3.0
91,"{'YDL178W': 0, 'YBR166C': 32, 'YPL262W': 0, 'YMR062C': 32, 'YJR095W': 0, 'YLR070C': 0, 'YGL125W': 32, 'YMR217W': 16, 'YOR323C': 16, 'YLR134W': 16}",10,0.015057496013801741,1.0481110400934512,3.2
73,"{'YDL178W': 0, 'YBR166C': 32, 'YPL262W': 0, 'YMR062C': 32, 'YNL316C': 2, 'YGL125W': 32, 'YIL010W': 16, 'YLR134W': 16}",8,0.015496638622993341,1.0478403854662337,2.75
