,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YGR282C': 0.25, 'YLR020C': 0.03125, 'YDR208W': 0.03125, 'YJL216C': 0.0625, 'YMR013C': 2, 'YOR335C': 0.0625, 'YJL214W': 0.0625, 'YPL231W': 0.03125}",16,0.0,0.0,0.0
1,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YNL117W': 32, 'YMR261C': 0.125, 'YDR481C': 0, 'YOL052C': 4}",12,0.0,0.0,0.0
2,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YMR006C': 0, 'YGR170W': 2, 'YLR395C': 0.25}",11,0.0,0.0,0.0
3,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YNL267W': 0.03125, 'YGR248W': 0.03125, 'YGR170W': 2, 'YJL121C': 8, 'YKL080W': 0.125, 'YCL052C': 32, 'Q0275': 32}",15,0.0,0.0,0.0
4,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YNL117W': 32, 'YKR043C': 0.03125, 'YDR481C': 0, 'YKR080W': 0, 'YJL121C': 8, 'YKL080W': 8, 'YOR236W': 0.03125, 'Q0275': 32}",16,0.0,0.0,0.0
5,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YER056C': 0.5, 'YMR006C': 0, 'YHR174W': 0.125, 'YKL080W': 0.125, 'YIL006W': 2, 'YLR395C': 0.25}",14,0.0,0.0,0.0
6,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YNL117W': 32, 'YDR481C': 0, 'YEL024W': 4, 'YOL052C': 4, 'YMR261C': 0.125, 'YKR089C': 0.03125}",14,0.0,0.0,0.0
7,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YLR020C': 0.03125, 'YDR481C': 0, 'YLR354C': 32, 'YJL121C': 8, 'YLR395C': 0.25}",13,0.0,0.0,0.0
8,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YGR292W': 32, 'YGR282C': 0.25, 'YDR481C': 0, 'YMR006C': 0, 'YHR174W': 0.125, 'YDR208W': 0.03125, 'YKR089C': 0.03125}",15,0.0,0.0,0.0
9,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YDR481C': 0, 'YNL117W': 2, 'YMR261C': 0.125, 'YHR174W': 0.125, 'YLL057C': 0.125, 'YKR089C': 0.03125}",14,0.0,0.0,0.0
10,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YNL117W': 32, 'YGR292W': 32, 'YLR020C': 0.03125, 'YMR006C': 0, 'YMR261C': 0.125, 'YIL006W': 2, 'YDR148C': 0.5, 'YLR395C': 0.25}",16,0.0,0.0,0.0
11,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YLR020C': 0.03125, 'YMR261C': 0.125, 'YHR174W': 0.125, 'YKL080W': 0.125, 'YIL006W': 2, 'YMR013C': 2, 'YML042W': 2, 'YLR395C': 0.25}",16,0.0,0.0,0.0
12,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YKR080W': 0, 'YNL241C': 0.0625, 'YKL080W': 0.125, 'YER024W': 0.125}",12,0.0,0.0,0.0
13,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YNL117W': 32, 'YDR481C': 0, 'YJL121C': 8, 'YLR245C': 0.125, 'Q0275': 32}",13,0.0,0.0,0.0
14,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YNL117W': 32, 'YJL121C': 8, 'YLR245C': 0.125, 'Q0275': 32}",12,0.0,0.0,0.0
15,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YHR174W': 32, 'YMR006C': 0, 'YMR261C': 0.125, 'YKL080W': 0.125, 'YDR148C': 0.5, 'YNL241C': 0.0625, 'YML042W': 2, 'YOL049W': 8}",16,0.0,0.0,0.0
16,"{'YPR060C': 32, 'YBR249C': 32, 'YDR127W': 32, 'YGL148W': 32, 'YDR035W': 32, 'YBR166C': 32, 'YLR134W': 0, 'YDR380W': 0, 'YGR282C': 0.25, 'YPL231W': 0.25, 'YJL216C': 0.0625, 'YOR335C': 0.0625, 'YJL214W': 0.0625}",13,0.0,0.0,0.0
