,Unnamed: 0,Modification,Size,BPCY,WYIELD,ModificationType,Curcumina,Biomassa
0,10,"{'YGL125W': 32, 'YLR044C': 32, 'YCR105W': 0, 'YGR208W': 0, 'YER060W-A': 0, 'YDL245C': 0, 'YJR095W': 0, 'YFL030W': 0, 'YBR263W': 0}",9,-0.0,0.0154638897580844,3.888888888888889,0.0,0.633412900784766
1,2,"{'YGL125W': 32, 'YLR044C': 32, 'YCR105W': 0, 'YGR208W': 0, 'YER060W-A': 0, 'YDL245C': 0, 'YOL049W': 0, 'YJR095W': 0, 'YFL030W': 0, 'YBR263W': 0}",10,-0.0,0.0154638897578424,4.0,0.0,0.6334129007847115
2,4,"{'YGL125W': 32, 'YLR044C': 32, 'YGR143W': 0, 'YDL245C': 0, 'YBR127C': 0, 'YER060W-A': 0, 'YIL124W': 0, 'YJR095W': 0, 'YHR025W': 0.0625, 'YOL049W': 0}",10,-0.0,0.5224313048945919,3.7,0.0,0.11672862234056611
3,7,"{'YGL125W': 32, 'YLR044C': 32, 'YCR105W': 0, 'YGR208W': 0, 'YDL245C': 0, 'YER060W-A': 0, 'YDR178W': 0, 'YJR095W': 0, 'YFL030W': 0, 'YHR025W': 0.5}",10,0.000157987783129,0.0330073263716318,3.7,0.00934334197139378,0.16896958115475622
4,8,"{'YGL125W': 32, 'YLR044C': 32, 'YCR105W': 0, 'YGR208W': 0, 'YDL245C': 0, 'YDR178W': 0, 'YJR095W': 0, 'YFL030W': 0, 'YHR025W': 0.5, 'YOL049W': 0}",10,0.0001579995570708,0.0330040574110545,3.7,0.009343341950557056,0.16896958115473718
5,6,"{'YGL125W': 32, 'YLR044C': 32, 'YCR105W': 0, 'YGR208W': 0, 'YDL245C': 0, 'YDR178W': 0, 'YJR095W': 0, 'YFL030W': 0, 'YBR291C': 16}",9,0.0102046810512072,1.0595316044885732,3.333333333333333,1.0634217029825672,0.09578247283840094
6,1,"{'YGL125W': 32, 'YLR044C': 32, 'YHR144C': 8, 'YAL054C': 32, 'YGR208W': 0, 'YDR178W': 0, 'YDR287W': 32, 'YMR009W': 0, 'YBR291C': 16, 'YJL153C': 8}",10,0.0102881524293142,1.0607623828644843,1.5,1.063388937110546,0.0967285647230482
7,54,"{'YGL125W': 32, 'YLR044C': 32, 'YHR144C': 8, 'YAL054C': 32, 'YGR208W': 0, 'YDR178W': 0, 'YBR127C': 0, 'YMR009W': 0, 'YBR291C': 16, 'YJL153C': 8}",10,0.0103866345886453,1.0606849570552903,2.0,1.0633566523014046,0.09766076627242903
8,52,"{'YGL125W': 32, 'YLR044C': 32, 'YAL054C': 32, 'YGR208W': 0, 'YDL245C': 0, 'YDR178W': 0, 'YMR009W': 0, 'YBR291C': 16, 'YOL049W': 0, 'YPR145W': 8}",10,0.010572539977483,1.060497344739893,2.5,1.063303300028349,0.09920127628095772
9,88,"{'YGL125W': 32, 'YLR044C': 32, 'YHR144C': 8, 'YAL054C': 32, 'YGR208W': 0, 'YDR178W': 0, 'YDR287W': 32, 'YBR291C': 16, 'YDL100C': 0.25, 'YGR007W': 0.5}",10,0.0107317192442472,1.0604925765243045,1.4,1.063244026279342,0.10091276481478509
