,Unnamed: 0,Modification,Size,BPCY,WYIELD,ModificationType,Curcumina,Biomassa
0,0,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YGL008C': 0, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YLR142W': 0, 'YLR043C': 0, 'YJL214W': 0, 'YNL192W': 0, 'YDR483W': 0, 'YDR178W': 0}",20,-0.0,0.0108800491130236,3.5,0.0,0.9168751664266896
1,3,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YGL008C': 0, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YDR502C': 0, 'YLR043C': 0, 'YJL097W': 0.125, 'YJL214W': 0, 'YDR483W': 0, 'YDR178W': 0}",20,-0.0,0.4300288541811253,3.35,0.0,0.12231304331935602
2,5,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGL008C': 0, 'YPL274W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YPL091W': 0, 'YGR243W': 0, 'YPL023C': 32, 'YJL214W': 0, 'YLR043C': 0, 'YDR483W': 0, 'YDR178W': 0, 'YOR184W': 0.03125}",20,0.010398108656775,1.0638697894088605,2.85,1.0633606322537514,0.09754584789929048
3,42,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YDR178W': 0.5, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YDR502C': 0, 'YGR087C': 32, 'YPL023C': 32, 'YLR043C': 0, 'YJL214W': 0, 'YDR483W': 0, 'YOR184W': 0.03125}",20,0.0106392431951663,1.0628735465041814,2.7,1.063280671855057,0.09985464914466619
4,10,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YDR178W': 0.5, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YDR502C': 0, 'YGR087C': 32, 'YPL023C': 32, 'YLR043C': 0, 'YJL214W': 0, 'YDR483W': 0, 'YOR184W': 0.03125}",20,0.0106392486464734,1.0628735420999045,2.7,1.063280671855057,0.09985464914466619
5,7,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YOR236W': 32, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YJL121C': 0, 'YDR502C': 0, 'YPL023C': 32, 'YPR113W': 32, 'YDR178W': 0}",20,0.0115059876061038,1.0682897104113618,2.5,1.063000651181553,0.10799760039149715
6,2,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YGL063W': 0, 'YJL121C': 0.25, 'YLR043C': 0.03125, 'YGR087C': 32, 'YGR193C': 32, 'YPL023C': 32, 'YPR113W': 32, 'YDR483W': 0, 'YDR178W': 0.0625}",19,0.0115486003888991,1.0682946657614147,1.631578947368421,1.062986728305067,0.10839982815882274
7,76,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YLR043C': 8, 'YGL063W': 0, 'YJL121C': 0.25, 'YGR087C': 32, 'YGR193C': 32, 'YMR207C': 16, 'YPL023C': 32, 'YPR113W': 32, 'YDR483W': 0, 'YDR178W': 0.0625}",20,0.0115486051884738,1.0682944609270653,1.45,1.062986728305067,0.10839982815882274
8,78,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YPR113W': 8, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YDR502C': 0, 'YPL023C': 32, 'YJL121C': 0.125, 'YDR178W': 0}",20,0.0115863269409792,1.0682047416288285,2.35,1.0629744027801706,0.10875590891304976
9,75,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YPL023C': 32, 'YJL121C': 2, 'YJR143C': 0.5, 'YOL126C': 0.5, 'YDR178W': 0.0625}",17,0.0117915757484724,1.0677498876317026,1.5294117647058822,1.0629072040183474,0.1106972611876736
