,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YGL008C': 0, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YLR142W': 0, 'YLR043C': 0, 'YJL214W': 0, 'YNL192W': 0, 'YDR483W': 0, 'YDR178W': 0}",20,-0.0,0.010880049113023649,3.5
3,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YGL008C': 0, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YDR502C': 0, 'YLR043C': 0, 'YJL097W': 0.125, 'YJL214W': 0, 'YDR483W': 0, 'YDR178W': 0}",20,-0.0,0.43002885418112535,3.35
5,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGL008C': 0, 'YPL274W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YPL091W': 0, 'YGR243W': 0, 'YPL023C': 32, 'YJL214W': 0, 'YLR043C': 0, 'YDR483W': 0, 'YDR178W': 0, 'YOR184W': 0.03125}",20,0.010398108656775013,1.0638697894088605,2.85
42,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YDR178W': 0.5, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YDR502C': 0, 'YGR087C': 32, 'YPL023C': 32, 'YLR043C': 0, 'YJL214W': 0, 'YDR483W': 0, 'YOR184W': 0.03125}",20,0.010639243195166348,1.0628735465041814,2.7
10,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YDR178W': 0.5, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YDR502C': 0, 'YGR087C': 32, 'YPL023C': 32, 'YLR043C': 0, 'YJL214W': 0, 'YDR483W': 0, 'YOR184W': 0.03125}",20,0.010639248646473424,1.0628735420999045,2.7
7,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YJL052W': 0, 'YOR236W': 32, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YJL121C': 0, 'YDR502C': 0, 'YPL023C': 32, 'YPR113W': 32, 'YDR178W': 0}",20,0.011505987606103888,1.0682897104113618,2.5
2,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YGL063W': 0, 'YJL121C': 0.25, 'YLR043C': 0.03125, 'YGR087C': 32, 'YGR193C': 32, 'YPL023C': 32, 'YPR113W': 32, 'YDR483W': 0, 'YDR178W': 0.0625}",19,0.011548600388899127,1.0682946657614147,1.631578947368421
76,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YLR043C': 8, 'YGL063W': 0, 'YJL121C': 0.25, 'YGR087C': 32, 'YGR193C': 32, 'YMR207C': 16, 'YPL023C': 32, 'YPR113W': 32, 'YDR483W': 0, 'YDR178W': 0.0625}",20,0.01154860518847384,1.0682944609270653,1.45
78,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YPR113W': 8, 'YJR143C': 0, 'YGL063W': 0, 'YPL274W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YDR502C': 0, 'YPL023C': 32, 'YJL121C': 0.125, 'YDR178W': 0}",20,0.011586326940979224,1.0682047416288285,2.35
75,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YOR236W': 32, 'YJL052W': 0, 'YOR100C': 0, 'YGR087C': 32, 'YPL023C': 32, 'YJL121C': 2, 'YJR143C': 0.5, 'YOL126C': 0.5, 'YDR178W': 0.0625}",17,0.01179157574847248,1.0677498876317026,1.5294117647058822
