,Modification,Size,BPCY,WYIELD,ModificationType
2,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGR087C': 0, 'YNL270C': 0, 'YOR332W': 0, 'YLR284C': 0, 'YER061C': 0, 'YLR153C': 0, 'YNR041C': 0, 'YGR088W': 0}",16,-0.0,0.006771809395906866,3.125
3,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGR087C': 0, 'YOR332W': 0, 'YGL142C': 0, 'YNR041C': 0, 'YLR284C': 0, 'YER061C': 0, 'YGR088W': 0, 'YCR053W': 0.0625}",16,-0.0,0.441176027211521,2.9375
1,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGR087C': 32, 'YHR183W': 32, 'YPR021C': 0, 'YNL270C': 0, 'YHR137W': 0, 'YER091C': 32, 'YER061C': 0, 'YKL085W': 0}",16,0.01032978776523602,1.0554981715693565,2.1875
50,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGR087C': 32, 'YHR183W': 32, 'YNL270C': 0, 'YHR137W': 0, 'YER091C': 32, 'YER061C': 0, 'YKL085W': 0, 'YDR287W': 0.25}",16,0.010329787765247978,1.0554981715691842,2.0
51,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGR087C': 32, 'YHR183W': 32, 'YNL270C': 0, 'YHR137W': 0, 'YER091C': 32, 'YER061C': 0, 'YKL085W': 0, 'YDR287W': 8}",16,0.010329788312788402,1.0554974024543897,1.875
19,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YDR287W': 4, 'YGR087C': 32, 'YKL085W': 0.25, 'YHR137W': 0, 'YOR184W': 0, 'YNL241C': 0.0625, 'YER091C': 32, 'YPR021C': 0.5}",16,0.010383654740286137,1.0523932193861048,1.625
42,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YNL241C': 0, 'YGR087C': 32, 'YBR036C': 0.5, 'YKL085W': 0.25, 'YHR137W': 0, 'YOR184W': 0, 'YER091C': 32, 'YPR021C': 0.5}",16,0.01039155239881122,1.0521892864864089,1.9375
90,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGR087C': 32, 'YKL085W': 0.25, 'YHR137W': 0, 'YOR184W': 0, 'YNL241C': 0.0625, 'YER091C': 32, 'YPR021C': 0.5, 'YLL048C': 0.125}",16,0.010396671081069635,1.0521802187386782,1.75
46,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YGR087C': 32, 'YKL085W': 0.25, 'YHR137W': 0, 'YOR184W': 0, 'YNL241C': 0.0625, 'YER091C': 32, 'YPR021C': 0.5}",15,0.010396679044346551,1.0521811893810489,1.7333333333333334
33,"{'YPR060C': 16, 'YBR249C': 16, 'YDR127W': 16, 'YGL148W': 16, 'YDR035W': 16, 'YBR166C': 16, 'YLR134W': 0, 'YDR380W': 0, 'YNL241C': 0, 'YGR087C': 32, 'YOR184W': 0.03125, 'YPR021C': 0, 'YNL270C': 0, 'YHR137W': 0, 'YER091C': 32, 'YKL085W': 0}",16,0.010752059165473742,1.0516744349034914,2.3125
